album_name,ep,album_release,track_number,track_name,artist,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,lyric
Taylor Swift,False,2006-10-24,12.0,I'm Only Me When I'm With You,Taylor Swift,2008-03-18,0.563,0.934,8.0,-3.629,1.0,0.0646,0.00452,0.000807,0.103,0.518,143.964,4.0,213053.0,False,G#,major,G# major,"[Verse 1] Friday night beneath the stars In a field behind your yard You and I are painting pictures in the sky And sometimes we don't say a thing Just listen to the crickets sing Everything I need is right here by my side And I know everything about you I don't wanna live without you [Chorus] I'm only up when you're not down Don't wanna fly if you're still on the ground It's like no matter what I do Well you drive me crazy half the time The other half I'm only tryna let you know that what I feel is true And I'm only me when I'm with you [Verse 2] Just a small town boy and girl Living in a crazy world Tryna figure out what is and isn't true And I don't try to hide my tears The secrets or my deepest fears Through it all nobody gets me like you do And you know everything about me You say that you can't live without me [Chorus] I'm only up when you're not down Don't wanna fly if you're still on the ground It's like no matter what I do Well you drive me crazy half the time The other half I'm only tryna let you know that what I feel is true And I'm only me when I'm with you [Bridge] When I'm with anybody else it's so hard to be myself Only you can tell [Chorus] That I'm only up when you're not down Don't wanna fly if you're still on the ground It's like no matter what I do Well you drive me crazy half the time The other half I'm only tryna let you know that what I feel is true And I'm only me Who I wanna be Well, I'm only me when I'm with you With you Uh huh Yeah"
Taylor Swift,False,2006-10-24,13.0,Invisible,Taylor Swift,2008-03-18,0.612,0.394,7.0,-5.723,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,4.0,203227.0,False,G,major,G major,"[Verse 1] She can't see the way your eyes Light up when you smile She'll never notice how you stop and stare Whenever she walks by [Pre-Chorus] And you can't see me wanting you the way you want her But you are everything to me [Chorus] I just want to show you She don't even know you She's never going to love you like I want to And you just see right through me But if you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible [Verse 2] There's a fire inside of you That can't help but shine through She's never going to see the light No matter what you do [Pre-Chorus] And all I think about is how to make you think of me And everything that we could be [Chorus] I just want to show you She don't even know you She's never going to love you like I want to And you just see right through me If you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible [Bridge] Like shadows in a faded light Oh, we're invisible I just want to open your eyes And make you realize [Chorus - Variation] I just want to show you She don't even know you Baby, let me love you Let me want you You just see right through me But if you only knew me We could be a beautiful Miracle Unbelievable Instead of just invisible [Outro] She can't see the way your eyes Light up when you smile"
Taylor Swift,False,2006-10-24,14.0,A Perfectly Good Heart,Taylor Swift,2008-03-18,0.483,0.751,4.0,-5.726,1.0,0.0365,0.00349,0.0,0.128,0.268,156.092,4.0,220147.0,False,E,major,E major,"[Chorus] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? [Verse] Maybe I should've seen the signs, should've read the writing on the wall And realized by the distance in your eyes that I would be the one to fall No matter what you say, I still can't believe That you would walk away It don't make sense to me, but [Chorus] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart? [Bridge] It's not unbroken anymore How do I get it back the way it was before? [Chorus] Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break? Why would you wanna break it? Why would you wanna break a perfectly good heart? Why would you wanna take our love and tear it all apart, now? Why would you wanna make the very first scar? Why would you wanna break a perfectly good heart?"
Taylor Swift,False,2006-10-24,15.0,Teardrops On My Guitar (Pop Version),Taylor Swift,2008-03-18,0.459,0.753,10.0,-3.827,1.0,0.0537,0.0402,0.0,0.0863,0.483,199.997,4.0,179067.0,False,A#,major,A# major,"[Verse 1] Drew looks at me I fake a smile so he won't see That I want and I'm needing Everything that we should be [Pre-Chorus 1] I'll bet she's beautiful, that girl he talks about And she's got everything that I have to live without [Verse 2] Drew talks to me I laugh 'cause it's so damn funny That I can't even see Anyone when he's with me [Pre-Chorus 2] He says he's so in love, he's finally got it right I wonder if he knows he's all I think about at night [Chorus] He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing, don't know why I do... [Verse 3] Drew walks by me Can't he tell that I can't breathe? And there he goes, so perfectly The kind of flawless I wish I could be [Pre-Chorus 3] She'd better hold him tight, give him all her love Look in those beautiful eyes and know she's lucky 'cause [Chorus] He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing, don't know why I do... [Bridge] So I drive home alone, as I turn off the light I'll put his picture down and maybe get some sleep tonight [Chorus] 'Cause he's the reason for the teardrops on my guitar The only one who’s got enough of me to break my heart He's the song in the car I keep singing, don't know why I do... [Outro] He's the time taken up, but there's never enough And he's all that I need to fall into Drew looks at me I fake a smile so he won't see"
Fearless,False,2008-11-11,1.0,Fearless,Taylor Swift,2008-10-14,0.598,0.714,5.0,-4.397,1.0,0.0273,0.0364,1.04e-06,0.31,0.467,99.979,4.0,242000.0,False,F,major,F major,"[Verse 1] There's something 'bout the way the street looks when it's just rained There's a glow off the pavement, you walk me to the car And you know I wanna ask you to dance right there In the middle of the parking lot, yeah Oh, yeah We're driving down the road, I wonder if you know I'm trying so hard not to get caught up now But you're just so cool, run your hands through your hair Absentmindedly making me want you [Chorus] And I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless [Verse 2] So, baby, drive slow 'til we run out of road in this one horse town I wanna stay right here, in this passenger's seat You put your eyes on me In this moment now, capture it, remember it [Chorus] 'Cause I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless [Bridge] Well, you stood there with me in the doorway My hands shake, I'm not usually this way but You pull me in and I'm a little more brave It's the first kiss, it's flawless, really something It's fearless Oh, yeah [Chorus] 'Cause I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless [Chorus] 'Cause I don't know how it gets better than this You take my hand and drag me head first, fearless And I don't know why but with you I'd dance In a storm in my best dress, fearless [Outro] Oh, oh Oh, yeah"
Fearless,False,2008-11-11,2.0,Fifteen,Taylor Swift,2008-11-11,0.559,0.636,7.0,-4.4,1.0,0.0263,0.0728,0.0,0.144,0.214,95.485,4.0,294347.0,False,G,major,G major,"[Verse 1] You take a deep breath and you walk through the doors It's the morning of your very first day You say hi to your friends you ain't seen in a while Try and stay out of everybody's way It's your freshman year and you're gonna be here For the next four years in this town Hoping one of those senior boys will wink at you and say ""You know, I haven't seen you around before"" [Chorus] 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen feeling like there's nothing to figure out Well, count to ten, take it in This is life before you know who you're gonna be Fifteen [Verse 2] You sit in class next to a redhead named Abigail And soon enough you're best friends Laughing at the other girls who think they're so cool We'll be outta here as soon as we can And then you're on your very first date and he's got a car And you're feeling like flying And your momma's waiting up and you're thinking he's the one And you're dancing 'round your room when the night ends When the night ends [Chorus] 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen and your first kiss Makes your head spin 'round But in your life you'll do things greater than Dating the boy on the football team But I didn't know it at fifteen [Bridge] When all you wanted was to be wanted Wish you could go back and tell yourself what you know now Back then I swore I was gonna marry him someday But I realized some bigger dreams of mine And Abigail gave everything she had to a boy Who changed his mind and we both cried [Chorus] 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen, don't forget to look before you fall I've found time can heal most anything And you just might find who you're supposed to be I didn't know who I was supposed to be at fifteen La la la la la la la la la la La la la la la la la la la la La la la la la la [Outro] Your very first day Take a deep breath, girl Take a deep breath as you walk through the doors"
Fearless,False,2008-11-11,3.0,Love Story,Taylor Swift,2008-09-12,0.618,0.736,2.0,-3.937,1.0,0.0308,0.157,0.0,0.073,0.307,118.982,4.0,235280.0,False,D,major,D major,"[Verse 1] We were both young when I first saw you I close my eyes, and the flashback starts I'm standing there On a balcony in summer air See the lights, see the party, the ball gowns See you make your way through the crowd And say, ""hello"" Little did I know [Pre-Chorus 1] That you were Romeo, you were throwing pebbles And my daddy said, ""stay away from Juliet"" And I was crying on the staircase Begging you, ""please don't go,"" and I said [Chorus 1] Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say ""yes"" [Verse 2] So I sneak out to the garden to see you We keep quiet, 'cause we're dead if they knew So close your eyes Escape this town for a little while [Pre-Chorus 2] 'Cause you were Romeo, I was a scarlet letter And my daddy said, ""Stay away from Juliet"" But you were everything to me I was begging you please don't go, and I said [Chorus 2] Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story baby just say ""yes"" Romeo, save me, they're trying to tell me how to feel This love is difficult, but it's real Don't be afraid, we'll make it out of this mess It's a love story baby just say ""yes"" Oh, oh [Bridge] I got tired of waiting Wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town And I said: ""Romeo, save me, I've been feeling so alone I keep waiting for you but you never come Is this in my head? I don't know what to think"" He knelt to the ground and pulled out a ring, and said [Chorus 3] Marry me Juliet You'll never have to be alone I love you and that's all I really know I talked to your dad, go pick out a white dress It's a love story, baby, just say 'yes'"" [Outro] Oh, oh Oh, oh 'Cause we were both young when I first saw you"
Fearless,False,2008-11-11,4.0,Hey Stephen,Taylor Swift,2008-11-11,0.843,0.553,6.0,-7.348,1.0,0.0317,0.168,2.66e-06,0.107,0.825,115.997,4.0,254320.0,False,F#,major,F# major,"[Verse 1] Hey Stephen, I know looks can be deceiving But I know I saw a light in you And as we walked we were talking I didn't say half the things I wanted to Of all the girls tossing rocks at your window I'll be the one waiting there even when it's cold Hey Stephen, boy, you might have me believing I don't always have to be alone [Chorus] 'Cause I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself [Verse 2] Hey Stephen, I've been holding back this feeling So I got some things to say to you I've seen it all, so I thought But I never seen nobody shine the way you do The way you walk, way you talk, way you say my name It's beautiful, wonderful, don't you ever change Hey Stephen, why are people always leaving? I think you and I should stay the same [Chorus] 'Cause I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself [Bridge] They're dimming the street lights, you're perfect for me Why aren't you here tonight? I'm waiting alone now, so come on and come out And pull me near and shine, shine, shine Hey Stephen, I could give you fifty reasons Why I should be the one you choose All those other girls, well, they're beautiful But would they write a song for you? [Chorus] I can't help it if you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself If you look like an angel Can't help it if I wanna kiss you in the rain so Come feel this magic I've been feeling since I met you Can't help it if there's no one else Mmm, I can't help myself [Outro] Myself Can't help myself I can't help myself"
Fearless,False,2008-11-11,5.0,White Horse,Taylor Swift,2008-11-11,0.585,0.346,0.0,-8.014,1.0,0.0256,0.302,0.0,0.102,0.195,92.564,4.0,234440.0,False,C,major,C major,"[Verse 1] Say you're sorry, that face of an angel Comes out just when you need it to As I paced back and forth all this time 'Cause I honestly believed in you Holdin' on, the days drag on Stupid girl, I shoulda known, I shoulda known [Chorus] That I'm not a princess, this ain't a fairytale I'm not the one you'll sweep off her feet, lead her up the stairwell This ain't Hollywood, this is a small town I was a dreamer before you went and let me down Now it's too late for you and your white horse To come around [Verse 2] Maybe I was naive, got lost in your eyes And never really had a chance My mistake, I didn't know to be in love You had to fight to have the upper hand I had so many dreams about you and me Happy endings, now I know [Chorus] That I'm not a princess, this ain't a fairytale I'm not the one you'll sweep off her feet, lead her up the stairwell This ain't Hollywood, this is a small town I was a dreamer before you went and let me down Now it's too late for you and your white horse To come around [Bridge] And there you are on your knees Beggin' for forgiveness, beggin' for me Just like I always wanted But I'm so sorry [Chorus] 'Cause I'm not your princess, this ain't our fairytale I'm gonna find someone someday Who might actually treat me well This is a big world, that was a small town There in my rear view mirror disappearing now And it's too late for you and your white horse Now it's too late for you and your white horse To catch me now [Outro] Oh, whoa, whoa, whoa Try and catch me now, oh It's too late to catch me now"
Fearless,False,2008-11-11,6.0,You Belong With Me,Taylor Swift,2008-11-04,0.687,0.771,6.0,-4.424,1.0,0.0384,0.164,2.46e-05,0.112,0.445,129.964,4.0,231147.0,False,F#,major,F# major,"[Verse 1] You're on the phone with your girlfriend, she's upset She's going off about something that you said 'Cause she doesn't get your humor like I do I'm in the room, it's a typical Tuesday night I'm listening to the kind of music she doesn't like And she'll never know your story like I do [Pre-Chorus] But she wears short skirts, I wear T-shirts She's Cheer Captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time [Chorus] If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me, you belong with me [Verse 2] Walking the streets with you and your worn-out jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey, isn't this easy? And you've got a smile that could light up this whole town I haven't seen it in a while since she brought you down You say you're fine, I know you better than that Hey, whatcha doing with a girl like that? [Pre-Chorus] She wears high heels, I wear sneakers She's Cheer Captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time [Chorus] If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me Standing by and waiting at your back door All this time how could you not know, baby? You belong with me, you belong with me [Bridge] Oh, I remember you driving to my house In the middle of the night I'm the one who makes you laugh When you know you're 'bout to cry And I know your favorite songs And you tell me 'bout your dreams Think I know where you belong Think I know it's with me [Chorus] Can't you see that I'm the one who understands you Been here all along, so why can't you see? You belong with me Standing by and waiting at your back door All this time how could you not know, baby? You belong with me, you belong with me [Outro] You belong with me Have you ever thought just maybe You belong with me? You belong with me"
